C,1,-100,-100,75
C,2,-100,-200,75
C,3,-200,-100,120
C,4,-200,-200,130
N,5,-300,-100,75
N,6,-300,-200,75
N,7,-400,-100,75
N,8,-400,-200,75

C,1,-100,-100,75
C,2,-100,-200,75
C,3,-200,-100,75
C,4,-200,-200,75
N,5,-300,-100,75
N,6,-300,-200,75
N,7,-400,-100,75
N,8,-400,-200,75

C,1,-100,-100,120
C,2,-100,-200,130
C,3,-200,-100,75
C,4,-200,-200,75
C,5,-300,-100,130
C,6,-300,-200,120
N,7,-400,-100,75
N,8,-400,-200,75

N,1,-100,-100,75
N,2,-100,-200,75
C,3,-200,-100,75
C,4,-200,-200,75
C,5,-300,-100,75
C,6,-300,-200,75
N,7,-400,-100,75
N,8,-400,-200,75

N,1,-100,-100,75
N,2,-100,-200,75
C,3,-200,-100,120
C,4,-200,-200,120
C,5,-300,-100,75
C,6,-300,-200,75
C,7,-400,-100,120
C,8,-400,-200,120

N,1,-100,-100,75
N,2,-100,-200,75
N,3,-200,-100,75
N,4,-200,-200,75
C,5,-300,-100,75
C,6,-300,-200,75
C,7,-400,-100,75
C,8,-400,-200,75

N,1,-100,-100,75
N,2,-100,-200,75
N,3,-200,-100,75
N,4,-200,-200,75
C,5,-300,-100,120
C,6,-300,-200,120
C,7,-400,-100,75
C,8,-400,-200,75
