C,1,200,200,75

C,1,200,200,75
C,2,220,180,75

C,1,200,200,75
C,2,220,180,75
C,3,240,180,75

C,1,200,200,75
C,2,220,180,75
C,3,240,180,75
C,4,260,200,75

C,1,200,200,75
C,2,220,180,75
C,3,240,180,75
C,4,260,200,75
C,5,200,250,75

C,1,200,200,75
C,2,220,180,75
C,3,240,180,75
C,4,260,200,75
C,5,200,250,75
C,6,220,270,75

C,1,200,200,75
C,2,220,180,75
C,3,240,180,75
C,4,260,200,75
C,5,200,250,75
C,6,220,270,75
C,7,240,270,75

C,1,200,200,75
C,2,220,180,75
C,3,240,180,75
C,4,260,200,75
C,5,200,250,75
C,6,220,270,75
C,7,240,270,75
C,8,260,250,75
